,figure001,figure002,figure003,figure004,figure005,figure006,figure007,figure008,figure009,figure010,figure011,figure012,figure013,figure014,figure015,figure016,figure017,figure018,figure019,figure020,figure021,figure022,figure023,figure024,figure025,figure026,figure027,figure028,figure029,figure030,figure031,figure032,figure033,figure034,figure035,figure036,figure037,figure038,figure039,figure040,figure041,figure042,figure043,figure044,figure045,figure046,figure047,figure048,figure049,figure050,figure051,figure052,figure053,figure054,figure055,figure056
s01,0.739748109163,1.24801231194,0.603910784943,0.527757579052,0.121055689528,1.22651190213,0.657151764908,0.349551481269,0.797559926422,0.220098453668,0.478892368556,0.239520853983,1.07009650073,1.14434525343,0.576414214014,1.09892809326,0.241046853695,0.365103191427,0.444711794038,0.211963765624,0.339554427438,0.494623834441,0.0524379871557,0.548908968553,0.154270049523,1.21942510126,1.14733745379,1.13975021893,0.180489443165,0.268279464102,0.603704787399,0.341635673772,1.65815520287,0.311752690657,0.121055689528,0.472784550222,1.31143317746,1.40180398476,0.561965309327,0.593090145883,0.235288441312,0.635366018487,0.290412542124,1.30173608569,0.349368091229,0.0916838084634,0.808086581236,0.35070784984,0.4737061338,0.910472660748,0.183402800759,0.559776130727,0.493776588609,0.435171292798,0.985209828181,0.180489443165
s02,1.23726658903,0.678474345699,0.597359801883,0.0837088058314,0.913520848966,0.973649527202,1.25296208003,0.722427360626,0.596841374359,0.340107445781,0.709242510972,1.14434525343,0.738227916456,1.10014874406,1.06032117306,0.215866137764,0.765258839494,0.708241108317,1.30173608569,0.641115653148,0.282992830339,0.346925273276,0.95132522068,0.895778260069,0.642718859756,0.334106510186,1.31648308848,0.725620771822,0.531157748166,0.760022326986,0.572750052699,1.40180398476,0.863540883429,0.322628775961,0.561059070239,0.566012422148,0.647102043397,0.250266944167,0.277925492528,0.132615488167,0.606168058076,0.65280296238,0.489992517246,0.305816591491,0.234038019728,0.671425790739,0.326982760587,0.764634330561,0.107763031926,0.186415104256,0.833419472603,0.532581800349,0.130270912033,0.77545442511,0.687271226334,0.0837838855883
s03,0.337299317289,1.62039482434,1.26767494256,0.542197877751,0.932321669688,0.827004059002,0.942915339149,0.581689190901,0.803431378994,0.672511747016,0.356039521784,0.213709082577,0.973649527202,0.830492749537,0.445417441387,0.548944205569,0.596102112403,0.252601064393,0.758616028896,0.834223567223,0.44326321363,0.387669071767,0.379271319233,0.255987875376,0.593090145883,0.561965309327,0.371741289718,0.371741289718,1.06642184581,0.386337609107,0.830903795551,0.601589473096,0.326011813194,1.2206866294,0.412302281169,0.493668565291,0.581689190901,0.398564695617,0.54669123373,1.05323331584,0.238299680994,1.12211579177,0.161013895199,1.28365334603,0.234038019728,0.0853801418447,0.970929461515,0.827004059002,0.457049905373,0.711696035303,0.484696908741,0.213782017158,0.346925273276,0.675721269463,0.464534386428,0.572750052699
s04,0.462463056069,0.916006339117,0.519735527369,0.306284126601,1.26756332804,0.714847930224,0.527757579052,0.0631254458228,0.661803700394,0.737076865768,0.732892528499,0.637546054164,0.710508127414,0.672511747016,0.246088393888,0.678838112968,0.4737061338,0.216820923347,0.519735527369,0.799229767829,1.67402391662,1.48933892126,0.551590748989,0.778691329406,0.967701635809,0.609292369968,1.33089347187,0.454967236761,0.132615488167,0.329148136153,0.484696908741,0.519735527369,0.916051082538,0.278441722451,0.771277533508,0.636170990006,0.420852111497,0.415580464055,0.447899114072,0.767258960343,0.932321669688,0.132615488167,1.35637517585,1.09612886498,0.93136690268,0.561965525781,0.269216794372,0.665891184563,0.259257541707,0.889099526976,0.408023104174,0.443844456579,0.657129564232,0.531157748166,0.770314972569,0.985209828181
s05,1.07009650073,0.834223567223,0.690997940371,0.165189705187,1.65815520287,0.812591166354,1.01692944614,1.05237948683,0.629921644673,0.344230973617,0.542197877751,1.2206866294,0.748250018496,0.821755896986,0.605327287477,0.369818949501,0.959239682928,0.708241108317,0.842835885161,0.737076865768,0.250266944167,0.695440796708,0.652724029496,0.144082308401,0.132615488167,0.272535504049,0.464768143441,0.231883983573,0.34239335102,0.489992517246,0.475565239691,1.28751766238,0.302595097531,0.910244102881,0.609645221502,0.841239694213,0.312486681023,0.513175791613,0.236745244835,0.290412542124,0.155593866918,0.273365251253,0.546244351142,0.762337348188,0.0968222886082,0.26865619819,0.281165697331,0.90252092783,0.308106505093,0.326290084419,0.276763939836,0.621841138624,0.799229767829,0.369818949501,0.282840674208,1.40180398476
s06,0.77545442511,0.825573710895,0.186415104256,0.827004059002,1.08626051907,0.936408075211,0.425247882699,1.25296208003,0.493668565291,1.75329891846,1.47907573766,0.657266067019,0.129941697391,0.726978475847,0.132615488167,0.403606244172,0.842835885161,1.83806300912,0.519735527369,1.51577793975,0.464344403538,0.389147807045,0.581992524524,0.374660607892,1.24801231194,0.862312769947,0.476916650057,0.364167895516,0.925549591244,0.559776130727,0.592315590373,0.576310498252,0.52667037713,0.347191036815,1.05585247192,1.10014874406,0.757734017224,1.11977965857,0.211738542572,0.571125634644,0.65524750526,0.872685905623,0.186536571387,0.388999203523,0.213782017158,0.121956546601,0.281165697331,0.841239694213,0.331022624397,0.7428082189,0.33277748663,0.460402976949,0.742326396523,0.672511747016,0.560656197977,0.0359585475314
s07,0.783876805243,0.80409578252,0.876692181249,0.252949367909,0.294440733171,0.711696035303,0.852563281538,0.891786570762,0.342295647521,1.28750643399,0.351266235304,0.384953411828,1.09669023258,1.65815520287,0.359761928484,0.650663843689,0.218846326882,0.123083522439,0.555139856135,1.06979279374,0.964569875519,1.09669023258,0.933079257247,1.0997452925,0.572750052699,0.134528102239,0.177960104452,0.704819763091,0.45902416808,0.400675061523,0.373710244876,0.667319979785,0.985209828181,0.525028104882,0.82631320345,0.925549591244,1.0859979346,0.876692181249,0.104807388295,0.421337932731,0.0359585475314,0.454689144831,1.13975021893,0.294238963021,0.645233420736,0.213709082577,0.51214906126,0.710508127414,0.374660607892,0.252949367909,0.689128142076,0.741212423232,1.26767494256,1.60531174786,0.973649527202,0.447899114072
s08,0.732892528499,1.09669023258,0.975799007995,0.173144545783,0.609645221502,0.631071368629,0.758546167635,0.0851486116813,1.12321877332,0.464768143441,0.398017067201,0.760022326986,0.460927800132,1.10455257068,1.07418810899,0.746975541682,0.160534453142,0.127931428335,0.359097745186,1.07147476193,1.35637517585,0.908293113461,0.879718488737,1.40747018708,0.464534386428,1.23168216881,0.413870870847,0.948965173981,0.652724029496,0.862312769947,0.928518937043,0.647403511726,1.58668485378,0.329148136153,0.832451143813,0.690128212595,1.82764624111,0.65280296238,0.457049905373,0.532276793992,0.834223567223,0.471909871904,0.584789358914,0.955092651682,0.887324654391,0.702354563072,1.64901642541,0.663031804739,0.365103191427,0.669458181595,1.41412063093,0.852563281538,0.575096008172,1.23388943823,0.591677938468,0.464344403538
s09,0.349368091229,0.412650876823,0.617571720052,0.0918988513493,0.364469249663,0.490626650242,0.506310801733,0.150231398034,0.186536571387,0.648571218986,0.454234590259,0.464768143441,0.863540883429,0.373710244876,1.16313772919,0.860257623144,0.587543846167,0.614564074902,0.519735527369,0.650542882403,0.924495156399,0.835181440224,0.454967236761,0.832451143813,1.29629271122,0.08475645819,1.03041260698,0.985209828181,0.471909871904,0.783876805243,0.444918852218,1.17367139558,0.435171292798,0.543961262407,0.617571720052,0.38049425934,1.06341495966,0.0917655295467,0.508164606391,1.43676466325,0.617489392809,0.235288441312,0.603083874282,0.975327407008,0.347191036815,0.343640667634,0.511360997842,0.683288284651,0.272245271279,0.362100086751,0.741212423232,0.539849431839,0.139928378606,0.948202207042,0.587543846167,0.268344872734
s10,0.581689190901,0.77474197415,0.365755858984,0.525028104882,0.123285674586,0.26865619819,0.413870870847,1.08626051907,0.722780357854,0.120747667371,0.304689039802,1.52472378398,0.824861207547,0.849998557114,0.799229767829,0.464344403538,0.77545442511,0.493586596397,0.373710244876,0.317213081858,1.59353560207,0.231950182,0.531651790799,0.988573105769,0.362847136666,0.561965525781,0.398564695617,0.648897789575,0.604974872614,0.123083522439,0.418474014499,0.440510349141,0.308106505093,0.394532927378,0.328532442243,0.552297838838,0.558119914846,0.139928378606,0.478892368556,0.407704230768,0.889099526976,0.0944523044255,0.880581104737,0.985479284918,0.572750052699,0.444711794038,0.808086581236,0.63603178143,1.28750643399,1.1371951321,0.675721269463,0.606815214909,0.5556500039,0.374660607892,0.123083522439,0.349660967387
