,figure001,figure002,figure003,figure004,figure005,figure006,figure007,figure008,figure009,figure010,figure011,figure012,figure013,figure014,figure015,figure016,figure017,figure018,figure019,figure020,figure021,figure022,figure023,figure024,figure025,figure026,figure027,figure028,figure029,figure030,figure031,figure032,figure033,figure034,figure035,figure036,figure037,figure038,figure039,figure040,figure041,figure042,figure043,figure044,figure045,figure046,figure047,figure048,figure049,figure050,figure051,figure052,figure053,figure054,figure055,figure056
s01,2.82006182477,2.83061810035,2.82236860742,2.82124643253,2.82822095121,2.81179639935,2.82410785488,2.81204157612,2.82344822395,2.83193693512,2.83610449723,2.81249079451,2.81737164445,2.8115623108,2.82541970352,2.82053294551,2.82199076376,2.83327866308,2.82034439174,2.82227021826,2.84281539181,2.82271814811,2.84958320182,2.82643655583,2.81766390245,2.81737164445,2.82337331911,2.82276648773,2.83580577097,2.82410785488,2.82263979998,2.82422170944,2.8218155132,2.81754740563,2.82221534887,2.80745846445,2.8245372345,2.80932803885,2.83365654951,2.8174945062,2.83258876635,2.820312977,2.83853469274,2.82504815192,2.83267773559,2.82097191518,2.81068200737,2.84333887891,2.84333887891,2.83033834686,2.83390017655,2.81966135196,2.83201248805,2.81990494436,2.82966963918,2.82327451602
s02,2.82423821014,2.83428378918,2.83287959981,2.82955403963,2.82436135439,2.81899404432,2.813179081,2.82266416967,2.83296842615,2.8382215295,2.82367444017,2.84657837642,2.83585029182,2.81669061489,2.82598855595,2.81205410735,2.81104516197,2.82666044497,2.82198094421,2.83615427611,2.82955667823,2.81155073191,2.83237474986,2.83817802192,2.83986454399,2.83809971375,2.8380783441,2.82017677925,2.823082404,2.83332358306,2.83534516491,2.82946281152,2.8202773352,2.8218155132,2.81491412615,2.83593439752,2.82927947733,2.82162289395,2.81795779996,2.8410731658,2.84149392985,2.83633107092,2.82709201657,2.82149396858,2.83052636261,2.83654009591,2.82021110929,2.83581824833,2.82494866387,2.83590171452,2.81816259922,2.82221534887,2.84607477441,2.83509723639,2.83043425928,2.8297404471
s03,2.81966135196,2.83428378918,2.81849537443,2.81451989515,2.80866792964,2.84299217492,2.81200046074,2.81737954132,2.8094983031,2.80787929408,2.83134705957,2.83580577097,2.82634933126,2.83943339426,2.82725145972,2.83377124701,2.81637259227,2.83468988145,2.8293009683,2.83664663639,2.83183583827,2.80932803885,2.80659761271,2.84251171993,2.82919393653,2.82219816626,2.80922854187,2.83279781463,2.8236897687,2.82835797405,2.82718788786,2.81990073933,2.83701655715,2.82099081909,2.823001206,2.82017677925,2.83727352325,2.81993476284,2.80787929408,2.82101970301,2.82509852475,2.82915114719,2.84507034298,2.82697287737,2.85569003007,2.82352304214,2.82908542985,2.81848366897,2.82122342598,2.81050302351,2.83194746921,2.83154626459,2.83581824833,2.83660519498,2.81650144123,2.83352186305
s04,2.82725145972,2.83661588626,2.82601856806,2.83661588626,2.82168013834,2.82706804588,2.83634462814,2.83728351549,2.83390017655,2.83698265437,2.81470944025,2.80649820526,2.8128889701,2.81850884797,2.80995479817,2.81710469951,2.84381809015,2.80720360675,2.83310645601,2.82084580626,2.82357215737,2.83261832384,2.80621730946,2.83698265437,2.81501272319,2.82209608776,2.83986454399,2.82662648644,2.82676085776,2.81537334928,2.8236897687,2.82237442593,2.81659007498,2.83767373128,2.82598855595,2.83371501631,2.81204157612,2.81602286811,2.80369768859,2.81766390245,2.83366045375,2.83099692254,2.80587651758,2.82422170944,2.82168013834,2.82089147509,2.82134736843,2.8236897687,2.82504815192,2.82568636465,2.81866889124,2.81647055199,2.81068200737,2.83280323023,2.82203228855,2.8380783441
s05,2.82284136642,2.83730387441,2.8380783441,2.81935567192,2.83609726668,2.82662648644,2.82327451602,2.83285258743,2.82041633388,2.8270093459,2.83858647052,2.83367343345,2.82689107329,2.83495425969,2.81475138243,2.82171643649,2.839770995,2.84484311182,2.80952353499,2.82337331911,2.83081721142,2.8372087916,2.81902244257,2.81236322585,2.83598964641,2.83968561296,2.83614817286,2.83194746921,2.82927700882,2.83079624936,2.82788211349,2.82986716438,2.82659655492,2.81922837464,2.82297070737,2.83245050029,2.83428378918,2.83477520424,2.83799985121,2.83506232225,2.81582503457,2.81815139055,2.81433911799,2.8372221934,2.8382215295,2.82555261442,2.82258559995,2.85569003007,2.83327866308,2.813179081,2.8309275169,2.82084580626,2.82625799709,2.82801356782,2.82344822395,2.82019826108
s06,2.83007855662,2.82914190068,2.83085420961,2.83881014655,2.83359547349,2.82801356782,2.81671879786,2.83370245355,2.83310645601,2.82265434079,2.83310645601,2.82915114719,2.83161065403,2.83817802192,2.82549091981,2.82301043124,2.837798688,2.81927261059,2.82872051541,2.82697287737,2.83968561296,2.82842956402,2.83193693512,2.80891979032,2.82659655492,2.8321511984,2.84934534741,2.8218155132,2.84558152123,2.84207641438,2.82676792996,2.8317519789,2.84106647697,2.8321511984,2.8372221934,2.83598964641,2.83326496585,2.8253669293,2.83915067103,2.84256590024,2.835130268,2.83390017655,2.81831051699,2.82349940234,2.81179639935,2.8386387031,2.83246425934,2.80587651758,2.84290837028,2.80956299152,2.82549091981,2.81351122445,2.83611926063,2.83061810035,2.82694809322,2.84035212674
s07,2.83085420961,2.83290286374,2.83694434786,2.83371501631,2.81433911799,2.83189414395,2.83296187624,2.82094515657,2.83047399838,2.83196938226,2.82918300875,2.83296842615,2.8321511984,2.81104516197,2.82146272446,2.82318240601,2.83617080774,2.81733145168,2.81902244257,2.83588427844,2.83327866308,2.83079624936,2.82697287737,2.81204157612,2.81155073191,2.82931142687,2.83126758016,2.82298302711,2.8128889701,2.82429224723,2.81633115893,2.81509264489,2.83654009591,2.83289022686,2.82872051541,2.84338380015,2.81606048277,2.82192546123,2.82163535288,2.83159612327,2.8113297183,2.8330824841,2.82023538688,2.82258559995,2.82258559995,2.81712551152,2.82400329133,2.82812559319,2.81432595745,2.84108930103,2.81751632433,2.83475592637,2.81200046074,2.83023484241,2.83367854179,2.83061810035
s08,2.82689107329,2.8218526531,2.8293009683,2.82153419439,2.81963526047,2.8113297183,2.84208509808,2.83462867652,2.82123511913,2.82658659317,2.80398068661,2.82271814811,2.82494866387,2.83366045375,2.82946281152,2.83367343345,2.83201248805,2.82689107329,2.81167107291,2.82654449254,2.83986454399,2.82019128267,2.8203798913,2.82482290042,2.84338380015,2.83019329444,2.82220649063,2.83289022686,2.82134736843,2.82023538688,2.83335736609,2.83617080774,2.83661588626,2.83189414395,2.81626763025,2.83199497236,2.81099871221,2.839770995,2.80938370814,2.84690935244,2.83649986466,2.81355132356,2.83402354539,2.8229333269,2.82975469149,2.84645259884,2.83246425934,2.82327451602,2.82706895036,2.82996092259,2.81654129758,2.82110998916,2.82311523475,2.82019128267,2.80938370814,2.82314757569
s09,2.8369701112,2.82696713027,2.83435781681,2.80673751699,2.83395617015,2.83488892652,2.8184228756,2.82220649063,2.81934686135,2.82405638789,2.81537334928,2.81633115893,2.82842616683,2.82061552417,2.83634462814,2.82199076376,2.82134736843,2.82517649462,2.83343930065,2.80981607165,2.83617080774,2.83371501631,2.82509852475,2.84035212674,2.81200046074,2.83233548816,2.80252513838,2.82839208493,2.8375149246,2.8378396407,2.82132195924,2.84208509808,2.82219816626,2.83610449723,2.8246290292,2.81470944025,2.81006093157,2.83134399655,2.82344753708,2.83007011195,2.84299217492,2.82706895036,2.82862038785,2.83089568894,2.81659007498,2.8309275169,2.81990073933,2.81519536205,2.81162899804,2.83431303905,2.82198094421,2.82165882084,2.79789117084,2.83547874689,2.83300844138,2.83289022686
s10,2.83596225723,2.81998066707,2.8323154011,2.82251540874,2.81596595452,2.82890076543,2.82706804588,2.81533155413,2.84251171993,2.82946281152,2.84271061981,2.81104516197,2.82168013834,2.80951967882,2.84645259884,2.83462965241,2.82995478906,2.83708416915,2.83289022686,2.82822095121,2.84115990317,2.82730855591,2.8184228756,2.8372221934,2.82722390586,2.82856226861,2.84645259884,2.82061552417,2.83785193271,2.8391905978,2.81643291267,2.82473324841,2.82502010877,2.82539056131,2.81876463341,2.82667487464,2.8187022035,2.82112735367,2.82199922655,2.83360145588,2.82725145972,2.82442055199,2.84837049392,2.8331224707,2.82462886935,2.81287150776,2.81308079616,2.82580556401,2.81891017685,2.83336571075,2.83407345419,2.8332906209,2.82220649063,2.83804365834,2.82908542985,2.83710632232
